1669523779.750245,10.10.1.100:59212,,,10,
1669523779.825458,10.10.1.100:59216,,,10,
1669523779.826930,10.10.1.100:59218,,,10,
1669523779.829500,10.10.1.100:59214,,,18,
1669523779.904660,10.10.1.100:59216,,,14,
1669523779.906146,10.10.1.100:59218,,,10,
1669523779.908846,10.10.1.100:59214,,,20,
1669523779.984103,10.10.1.100:59216,,,19,
1669523779.985540,10.10.1.100:59218,,,12,
1669523779.988261,10.10.1.100:59214,,,20,
1669523780.063419,10.10.1.100:59216,,,20,
1669523780.064926,10.10.1.100:59218,,,18,
1669523780.067609,10.10.1.100:59214,,,20,
1669523780.142499,10.10.1.100:59216,,,20,
1669523780.144070,10.10.1.100:59218,,,20,
1669523780.147065,10.10.1.100:59214,,,24,
1669523780.221481,10.10.1.100:59216,,,21,
1669523780.222979,10.10.1.100:59218,,,21,
1669523780.225679,10.10.1.100:59214,,,28,
1669523780.300446,10.10.1.100:59216,,,21,
1669523780.301980,10.10.1.100:59218,,,21,
1669523780.304861,10.10.1.100:59214,,,35,
1669523780.380226,10.10.1.100:59216,,,23,
1669523780.381697,10.10.1.100:59218,,,21,
1669523780.384431,10.10.1.100:59214,,,40,
1669523780.458825,10.10.1.100:59216,,,29,
1669523780.460262,10.10.1.100:59218,,,21,
1669523780.462932,10.10.1.100:59214,,,40,
1669523780.537620,10.10.1.100:59216,,,35,
1669523780.539132,10.10.1.100:59218,,,21,
1669523780.541767,10.10.1.100:59214,,,40,
1669523780.616240,10.10.1.100:59216,,,38,
1669523780.617736,10.10.1.100:59218,,,24,
1669523780.620126,10.10.1.100:59214,,,41,
1669523780.694303,10.10.1.100:59216,,,38,
1669523780.695398,10.10.1.100:59218,,,30,
1669523780.697687,10.10.1.100:59214,,,41,
1669523780.772443,10.10.1.100:59216,,,38,
1669523780.773497,10.10.1.100:59218,,,36,
1669523780.775403,10.10.1.100:59214,,,41,
1669523780.849122,10.10.1.100:59216,,,40,
1669523780.850219,10.10.1.100:59218,,,39,
1669523780.852106,10.10.1.100:59214,,,42,
1669523780.927571,10.10.1.100:59216,,,40,
1669523780.928998,10.10.1.100:59218,,,40,
1669523780.931758,10.10.1.100:59214,,,49,
1669523781.006324,10.10.1.100:59216,,,41,
1669523781.007846,10.10.1.100:59218,,,42,
1669523781.010498,10.10.1.100:59214,,,52,
1669523781.119577,10.10.1.100:59216,,,42,
1669523781.122239,10.10.1.100:59218,,,42,
1669523781.127423,10.10.1.100:59214,2,2,51,27
1669523781.257026,10.10.1.100:59216,1,1,42,21
1669523781.258592,10.10.1.100:59218,,,42,
1669523781.261287,10.10.1.100:59214,6,6,38,27
1669523781.335908,10.10.1.100:59216,6,6,28,21
1669523781.337568,10.10.1.100:59218,,,42,
1669523781.341085,10.10.1.100:59214,6,6,38,27
1669523781.475403,10.10.1.100:59216,8,8,22,21
1669523781.478675,10.10.1.100:59218,,,44,
1669523781.484269,10.10.1.100:59214,6,6,38,27
1669523781.618349,10.10.1.100:59216,8,8,22,21
1669523781.621090,10.10.1.100:59218,6,6,29,22
1669523781.626238,10.10.1.100:59214,6,6,38,27
1669523781.756612,10.10.1.100:59216,10,10,18,21
1669523781.758101,10.10.1.100:59218,8,8,22,22
1669523781.760819,10.10.1.100:59214,9,9,30,27
1669523781.835417,10.10.1.100:59216,11,11,16,21
1669523781.836868,10.10.1.100:59218,10,10,18,22
1669523781.839551,10.10.1.100:59214,15,15,22,27
1669523781.914856,10.10.1.100:59216,12,12,15,21
1669523781.916312,10.10.1.100:59218,10,10,18,22
1669523781.919099,10.10.1.100:59214,26,28,27,27
1669523781.993676,10.10.1.100:59216,20,21,21,21
1669523781.995137,10.10.1.100:59218,10,10,18,22
1669523781.997891,10.10.1.100:59214,22,28,27,27
1669523782.073075,10.10.1.100:59216,14,21,21,21
1669523782.074604,10.10.1.100:59218,10,10,18,22
1669523782.077301,10.10.1.100:59214,22,28,27,27
1669523782.152538,10.10.1.100:59216,13,21,21,21
1669523782.153977,10.10.1.100:59218,16,16,16,22
1669523782.156767,10.10.1.100:59214,22,28,27,27
1669523782.231709,10.10.1.100:59216,13,21,21,21
1669523782.233205,10.10.1.100:59218,14,21,22,22
1669523782.235906,10.10.1.100:59214,22,28,27,27
1669523782.310774,10.10.1.100:59216,11,21,21,21
1669523782.312196,10.10.1.100:59218,13,21,22,22
1669523782.314981,10.10.1.100:59214,19,28,27,27
1669523782.390350,10.10.1.100:59216,11,21,21,21
1669523782.391900,10.10.1.100:59218,13,21,22,22
1669523782.394609,10.10.1.100:59214,13,28,27,27
1669523782.469547,10.10.1.100:59216,9,21,21,21
1669523782.471135,10.10.1.100:59218,11,21,22,22
1669523782.473824,10.10.1.100:59214,10,28,27,27
1669523782.549240,10.10.1.100:59216,9,21,21,21
1669523782.550723,10.10.1.100:59218,11,21,22,22
1669523782.553449,10.10.1.100:59214,3,28,27,27
1669523782.628924,10.10.1.100:59216,9,21,21,21
1669523782.630369,10.10.1.100:59218,11,21,22,22
1669523782.633077,10.10.1.100:59214,0,28,27,27
1669523782.709078,10.10.1.100:59216,4,21,21,21
1669523782.710500,10.10.1.100:59218,11,21,22,22
1669523782.713297,10.10.1.100:59214,0,28,27,27
1669523782.788082,10.10.1.100:59216,0,21,21,21
1669523782.789539,10.10.1.100:59218,11,21,22,22
1669523782.792274,10.10.1.100:59214,0,28,27,27
1669523782.866883,10.10.1.100:59216,0,21,21,21
1669523782.868384,10.10.1.100:59218,10,21,22,22
1669523782.871173,10.10.1.100:59214,0,28,27,27
1669523782.946236,10.10.1.100:59216,0,21,21,21
1669523782.947786,10.10.1.100:59218,4,21,22,22
1669523782.950474,10.10.1.100:59214,0,28,27,27
1669523783.025466,10.10.1.100:59216,0,21,21,21
1669523783.027049,10.10.1.100:59218,1,22,20,11
1669523783.029768,10.10.1.100:59214,0,28,27,27
1669523783.104682,10.10.1.100:59216,0,21,21,21
1669523783.106159,10.10.1.100:59218,1,22,18,11
1669523783.108936,10.10.1.100:59214,0,28,27,27
1669523783.184567,10.10.1.100:59216,0,21,21,21
1669523783.185991,10.10.1.100:59218,1,22,18,11
1669523783.188746,10.10.1.100:59214,0,28,27,27
1669523783.311139,10.10.1.100:59216,0,21,21,21
1669523783.313722,10.10.1.100:59218,1,22,17,11
1669523783.318716,10.10.1.100:59214,0,28,27,27
1669523783.452150,10.10.1.100:59216,0,21,21,21
1669523783.454833,10.10.1.100:59218,1,22,17,11
1669523783.459569,10.10.1.100:59214,0,28,28,27
1669523783.552418,10.10.1.100:59216,0,21,21,21
1669523783.553861,10.10.1.100:59218,1,22,17,11
1669523783.556629,10.10.1.100:59214,0,28,28,27
1669523783.631419,10.10.1.100:59216,0,21,22,21
1669523783.632931,10.10.1.100:59218,1,22,17,11
1669523783.637859,10.10.1.100:59214,0,28,28,27
1669523783.770318,10.10.1.100:59216,0,21,22,21
1669523783.772927,10.10.1.100:59218,1,22,15,11
1669523783.777730,10.10.1.100:59214,0,28,28,27
1669523783.895200,10.10.1.100:59216,0,21,22,21
1669523783.896673,10.10.1.100:59218,0,22,11,11
1669523783.899406,10.10.1.100:59214,0,28,28,27
1669523783.973778,10.10.1.100:59216,0,21,22,21
1669523783.975297,10.10.1.100:59218,0,22,11,11
1669523783.977980,10.10.1.100:59214,0,28,28,27
1669523784.052543,10.10.1.100:59216,0,21,22,21
1669523784.053999,10.10.1.100:59218,0,22,11,11
