1669594592.033231,10.10.1.100:39758,,,10,
1669594592.135865,10.10.1.100:39762,,,14,
1669594592.137027,10.10.1.100:39760,,,15,
1669594592.138193,10.10.1.100:39764,,,13,
1669594592.215828,10.10.1.100:39762,,,16,
1669594592.216993,10.10.1.100:39760,,,18,
1669594592.218186,10.10.1.100:39764,,,15,
1669594592.294653,10.10.1.100:39762,,,18,
1669594592.295880,10.10.1.100:39760,,,20,
1669594592.297001,10.10.1.100:39764,,,18,
1669594592.373638,10.10.1.100:39762,,,20,
1669594592.374828,10.10.1.100:39760,,,22,
1669594592.375952,10.10.1.100:39764,,,20,
1669594592.452538,10.10.1.100:39762,,,24,
1669594592.453821,10.10.1.100:39760,,,23,
1669594592.454959,10.10.1.100:39764,,,22,
1669594592.531464,10.10.1.100:39762,,,25,
1669594592.532723,10.10.1.100:39760,,,26,
1669594592.533879,10.10.1.100:39764,,,23,
1669594592.611329,10.10.1.100:39762,,,26,
1669594592.612581,10.10.1.100:39760,,,29,
1669594592.613697,10.10.1.100:39764,,,26,
1669594592.692825,10.10.1.100:39762,,,30,
1669594592.694139,10.10.1.100:39760,,,31,
1669594592.695262,10.10.1.100:39764,,,26,
1669594592.772993,10.10.1.100:39762,,,32,
1669594592.774303,10.10.1.100:39760,,,32,
1669594592.775427,10.10.1.100:39764,,,30,
1669594592.900616,10.10.1.100:39762,,,34,
1669594592.902983,10.10.1.100:39760,,,36,
1669594592.904947,10.10.1.100:39764,,,32,
1669594593.035297,10.10.1.100:39762,,,38,
1669594593.037585,10.10.1.100:39760,,,40,
1669594593.039513,10.10.1.100:39764,,,36,
1669594593.133633,10.10.1.100:39762,,,40,
1669594593.135135,10.10.1.100:39760,,,44,
1669594593.136262,10.10.1.100:39764,,,40,
1669594593.216036,10.10.1.100:39762,,,44,
1669594593.217458,10.10.1.100:39760,,,44,
1669594593.218659,10.10.1.100:39764,,,44,
1669594593.296631,10.10.1.100:39762,,,48,
1669594593.298071,10.10.1.100:39760,,,46,
1669594593.299208,10.10.1.100:39764,,,44,
1669594593.376440,10.10.1.100:39762,,,48,
1669594593.377918,10.10.1.100:39760,3,3,45,
1669594593.379091,10.10.1.100:39764,,,45,
1669594593.455142,10.10.1.100:39762,2,2,42,
1669594593.456490,10.10.1.100:39760,3,3,45,
1669594593.457620,10.10.1.100:39764,2,2,43,
1669594593.534073,10.10.1.100:39762,4,4,40,
1669594593.535499,10.10.1.100:39760,6,6,39,
1669594593.536664,10.10.1.100:39764,2,2,43,
1669594593.634328,10.10.1.100:39762,5,5,39,
1669594593.636862,10.10.1.100:39760,8,8,38,
1669594593.639052,10.10.1.100:39764,5,5,39,
1669594593.770991,10.10.1.100:39762,9,9,35,
1669594593.773248,10.10.1.100:39760,10,10,35,
1669594593.775258,10.10.1.100:39764,8,8,35,
1669594593.908999,10.10.1.100:39762,13,13,31,
1669594593.911721,10.10.1.100:39760,14,14,31,
1669594593.913963,10.10.1.100:39764,11,11,33,
1669594594.043763,10.10.1.100:39762,17,17,27,
1669594594.046097,10.10.1.100:39760,18,18,27,
1669594594.048176,10.10.1.100:39764,15,15,28,
1669594594.139121,10.10.1.100:39762,18,18,26,
1669594594.140714,10.10.1.100:39760,21,21,24,
1669594594.142073,10.10.1.100:39764,19,19,24,
1669594594.219347,10.10.1.100:39762,18,18,26,
1669594594.220743,10.10.1.100:39760,23,26,25,
1669594594.222077,10.10.1.100:39764,21,21,23,
1669594594.299913,10.10.1.100:39762,18,20,26,
1669594594.301330,10.10.1.100:39760,22,26,26,
1669594594.302667,10.10.1.100:39764,20,22,27,
1669594594.379612,10.10.1.100:39762,15,20,29,
1669594594.381007,10.10.1.100:39760,20,26,28,
1669594594.382473,10.10.1.100:39764,18,22,29,
1669594594.458794,10.10.1.100:39762,15,20,29,
1669594594.460522,10.10.1.100:39760,16,26,32,
1669594594.461869,10.10.1.100:39764,16,22,31,
1669594594.574531,10.10.1.100:39762,11,20,33,
1669594594.577473,10.10.1.100:39760,16,26,32,
1669594594.580164,10.10.1.100:39764,13,22,34,
1669594594.714568,10.10.1.100:39762,7,20,37,
1669594594.716069,10.10.1.100:39760,12,26,36,
1669594594.717554,10.10.1.100:39764,10,22,37,
1669594594.795560,10.10.1.100:39762,4,20,40,
1669594594.797154,10.10.1.100:39760,8,26,40,
1669594594.798703,10.10.1.100:39764,7,22,40,
1669594594.875482,10.10.1.100:39762,3,20,41,
1669594594.877024,10.10.1.100:39760,6,26,42,
1669594594.878663,10.10.1.100:39764,3,22,44,
1669594594.994350,10.10.1.100:39762,2,20,42,
1669594594.996908,10.10.1.100:39760,2,26,12,
1669594594.999451,10.10.1.100:39764,2,22,45,
1669594595.134827,10.10.1.100:39762,0,20,12,
1669594595.137293,10.10.1.100:39760,0,26,12,
1669594595.139812,10.10.1.100:39764,0,22,12,
1669594595.247552,10.10.1.100:39762,3,23,30,
1669594595.248961,10.10.1.100:39760,2,28,35,
1669594595.250409,10.10.1.100:39764,4,26,37,
1669594595.326863,10.10.1.100:39762,5,25,28,
1669594595.328273,10.10.1.100:39760,6,32,31,
1669594595.329693,10.10.1.100:39764,6,28,35,
1669594595.405620,10.10.1.100:39762,7,27,26,
1669594595.407060,10.10.1.100:39760,7,33,30,
1669594595.408449,10.10.1.100:39764,7,29,34,
1669594595.485329,10.10.1.100:39762,13,33,25,
1669594595.486790,10.10.1.100:39760,7,33,30,
1669594595.488181,10.10.1.100:39764,7,29,34,
1669594595.564335,10.10.1.100:39762,14,34,25,
1669594595.565727,10.10.1.100:39760,10,36,23,
1669594595.567154,10.10.1.100:39764,8,30,33,
1669594595.643998,10.10.1.100:39762,18,38,21,
1669594595.645419,10.10.1.100:39760,10,36,23,
1669594595.646882,10.10.1.100:39764,10,32,31,
1669594595.766914,10.10.1.100:39762,19,39,20,
1669594595.769410,10.10.1.100:39760,12,38,21,
1669594595.771942,10.10.1.100:39764,14,36,20,
1669594595.902363,10.10.1.100:39762,17,39,12,
1669594595.904627,10.10.1.100:39760,12,40,12,
1669594595.906956,10.10.1.100:39764,17,40,12,
1669594596.004592,10.10.1.100:39762,15,39,12,
