1670186486.208157,10.10.1.100:51434,23800.0,4.989,,,15,
1670186486.286938,10.10.1.100:51434,960.9,41.356,,,21,
1670186486.380394,10.10.1.100:51434,954.5,97.577,,,28,
1670186486.513345,10.10.1.100:51434,956.0,140.773,,,36,
1670186486.627800,10.10.1.100:51434,957.3,197.612,,,46,
1670186486.770186,10.10.1.100:51434,956.3,273.292,,,58,
1670186486.889258,10.10.1.100:51434,956.0,360.117,,,69,
1670186487.017598,10.10.1.100:51434,956.1,418.415,,,78,
1670186487.157786,10.10.1.100:51434,956.3,487.248,,,90,
1670186487.278221,10.10.1.100:51434,956.1,514.562,,,101,
1670186487.405082,10.10.1.100:51434,956.4,576.388,,,110,
1670186487.529294,10.10.1.100:51434,956.4,651.467,,,110,
1670186487.661595,10.10.1.100:51434,956.4,739.496,,,110,
1670186487.795834,10.10.1.100:51434,956.6,798.929,3,3,107,
1670186487.938285,10.10.1.100:51434,956.4,828.278,15,15,95,
1670186488.047405,10.10.1.100:51434,956.3,833.95,26,26,84,
1670186488.150985,10.10.1.100:51434,956.6,835.049,35,35,75,
1670186488.241255,10.10.1.100:51434,956.8,835.319,41,41,69,
1670186488.361414,10.10.1.100:51434,956.6,835.467,41,41,69,
1670186488.501017,10.10.1.100:51434,956.4,835.634,41,41,69,
1670186488.654277,10.10.1.100:51434,956.4,834.332,37,41,14,
1670186488.732315,10.10.1.100:51434,956.4,835.438,26,41,14,
1670186488.811749,10.10.1.100:51434,956.1,835.462,19,41,14,
1670186488.890479,10.10.1.100:51434,956.1,835.429,13,41,14,
1670186488.968279,10.10.1.100:51434,956.1,835.776,6,41,14,
1670186489.046142,10.10.1.100:51434,956.3,835.835,0,41,14,
1670186489.123497,10.10.1.100:51434,956.3,839.858,0,41,14,
1670186489.201543,10.10.1.100:51434,956.4,842.453,0,41,14,
1670186489.279568,10.10.1.100:51434,956.4,844.169,0,41,14,
1670186489.357348,10.10.1.100:51434,956.3,845.665,0,41,14,
1670186489.433686,10.10.1.100:59436,0,695.589,,,10,
1670186489.435116,10.10.1.100:51434,193.9,621.478,0,41,14,
1670186489.511714,10.10.1.100:59436,0,695.589,,,10,
1670186489.513210,10.10.1.100:51434,180.2,343.011,0,41,14,
1670186489.590321,10.10.1.100:59436,68.0,629.919,,,10,
1670186489.592062,10.10.1.100:51434,950.9,245.674,0,41,14,
1670186489.670436,10.10.1.100:59436,68.0,629.919,,,10,
1670186489.671952,10.10.1.100:51434,951.2,204.301,0,41,14,
1670186489.800935,10.10.1.100:59436,68.0,629.919,,,10,
1670186489.803663,10.10.1.100:51434,949.2,182.335,0,41,14,
1670186489.934600,10.10.1.100:59436,68.0,578.01,,,10,
1670186489.937126,10.10.1.100:51434,948.5,173.529,0,41,14,
1670186490.048531,10.10.1.100:51434,948.1,171.269,0,41,14,
1670186490.288345,10.10.1.100:59438,0,170.005,,,10,
1670186490.297487,10.10.1.100:51434,948.8,170.58,0,41,14,
1670186490.493309,10.10.1.100:51434,948.0,170.935,0,41,8,
1670186490.594773,10.10.1.100:59438,191.4,157.29,,,12,
1670186490.597628,10.10.1.100:51434,949.6,170.407,0,41,8,
1670186490.683934,10.10.1.100:59438,478.2,162.988,,,18,
1670186490.687335,10.10.1.100:51434,949.6,170.407,0,41,8,
1670186490.774693,10.10.1.100:59438,531.9,174.328,,,20,
1670186490.778042,10.10.1.100:51434,452.6,197.714,0,41,8,
1670186490.877008,10.10.1.100:59438,546.5,202.944,,,24,
1670186490.882106,10.10.1.100:51434,478.0,207.868,0,41,11,
1670186491.017983,10.10.1.100:59438,624.8,266.239,,,34,
1670186491.022921,10.10.1.100:51434,478.0,207.868,0,41,11,
1670186491.139865,10.10.1.100:59438,659.0,304.568,,,40,
1670186491.142735,10.10.1.100:51434,273.1,271.889,0,41,8,
1670186491.279725,10.10.1.100:59438,669.3,335.096,,,44,
1670186491.284915,10.10.1.100:51434,318.7,318.768,0,41,8,
1670186491.422209,10.10.1.100:59438,686.8,415.81,,,56,
1670186491.427211,10.10.1.100:51434,318.7,318.768,0,41,8,
1670186491.556673,10.10.1.100:59438,722.5,472.941,,,68,
1670186491.561401,10.10.1.100:51434,318.7,318.768,0,41,8,
1670186491.671029,10.10.1.100:59438,746.0,527.277,,,78,
1670186491.676279,10.10.1.100:51434,318.7,318.768,0,41,8,
1670186491.813667,10.10.1.100:59438,784.1,546.949,,,82,
1670186491.818729,10.10.1.100:51434,175.7,479.175,0,41,10,
1670186491.926068,10.10.1.100:59438,814.6,602.052,,,92,
1670186491.931080,10.10.1.100:51434,184.0,495.915,0,41,8,
1670186492.067545,10.10.1.100:59438,824.0,661.115,,,101,
1670186492.072558,10.10.1.100:51434,184.0,495.915,0,41,8,
1670186492.209324,10.10.1.100:59438,834.5,732.166,,,113,
1670186492.214665,10.10.1.100:51434,184.0,495.915,0,41,8,
1670186492.302028,10.10.1.100:59438,845.3,800.332,2,rcv_space,123,
1670186492.304946,10.10.1.100:51434,184.0,495.915,0,41,8,
1670186492.381732,10.10.1.100:59438,845.3,816.849,3,3,113,61
1670186492.386157,10.10.1.100:51434,184.0,495.915,0,41,8,
1670186492.522579,10.10.1.100:59438,845.0,825.783,7,7,101,61
1670186492.527617,10.10.1.100:51434,184.0,495.915,0,41,8,
1670186492.642021,10.10.1.100:59438,841.7,826.082,9,9,92,61
1670186492.644852,10.10.1.100:51434,122.9,717.832,1,42,7,
1670186492.721502,10.10.1.100:59438,845.2,830.208,13,13,82,61
1670186492.724365,10.10.1.100:51434,122.9,717.832,1,42,7,
1670186492.800681,10.10.1.100:59438,845.3,833.357,16,16,73,61
1670186492.803564,10.10.1.100:51434,122.9,717.832,1,42,7,
1670186492.879926,10.10.1.100:59438,845.5,834.728,20,20,63,61
1670186492.882828,10.10.1.100:51434,122.9,717.832,1,42,7,
1670186492.959211,10.10.1.100:59438,846.0,835.123,26,26,55,61
1670186492.962062,10.10.1.100:51434,122.9,717.832,1,42,7,
1670186493.039413,10.10.1.100:59438,845.8,835.309,32,32,49,61
1670186493.042281,10.10.1.100:51434,122.9,717.832,1,42,7,
1670186493.119660,10.10.1.100:59438,845.2,835.389,39,39,42,61
1670186493.122568,10.10.1.100:51434,122.9,717.832,1,42,7,
1670186493.199390,10.10.1.100:59438,815.6,827.078,58,62,61,61
1670186493.202200,10.10.1.100:51434,122.9,717.832,1,42,7,
1670186493.279209,10.10.1.100:59438,758.8,802.315,54,62,61,61
1670186493.282059,10.10.1.100:51434,97.0,720.636,1,42,7,
1670186493.358670,10.10.1.100:59438,717.0,773.018,51,62,61,61
1670186493.361518,10.10.1.100:51434,97.6,723.016,0,42,10,
1670186493.438109,10.10.1.100:59438,623.8,708.174,45,62,61,61
1670186493.441009,10.10.1.100:51434,97.6,723.016,0,42,10,
1670186493.517243,10.10.1.100:59438,568.5,635.498,38,62,61,61
1670186493.520064,10.10.1.100:51434,97.6,723.016,0,42,10,
1670186493.597436,10.10.1.100:59438,568.5,605.711,32,62,61,61
1670186493.600192,10.10.1.100:51434,97.6,723.016,0,42,10,
1670186493.677085,10.10.1.100:59438,568.5,591.118,25,62,61,61
1670186493.679977,10.10.1.100:51434,97.6,723.016,0,42,10,
1670186493.757081,10.10.1.100:59438,582.2,587.105,19,62,61,61
1670186493.759909,10.10.1.100:51434,97.6,723.016,0,42,10,
1670186493.836366,10.10.1.100:59438,678.9,624.279,12,62,61,61
1670186493.839351,10.10.1.100:51434,97.6,723.016,0,42,10,
1670186493.915427,10.10.1.100:59438,775.7,690.028,5,62,61,61
1670186493.918323,10.10.1.100:51434,97.6,723.016,0,42,10,
1670186493.995004,10.10.1.100:59438,857.9,754.204,0,62,61,61
1670186493.997940,10.10.1.100:51434,97.6,723.016,0,42,10,
1670186494.074824,10.10.1.100:59438,857.9,792.495,0,62,61,61
1670186494.077628,10.10.1.100:51434,98.4,735.599,0,42,8,
1670186494.154800,10.10.1.100:59438,857.9,792.495,0,62,61,61
1670186494.157689,10.10.1.100:51434,110.9,784.425,0,42,8,
1670186494.233829,10.10.1.100:59438,845.6,816.314,0,62,61,61
1670186494.236672,10.10.1.100:51434,110.9,789.937,0,42,9,
1670186494.314443,10.10.1.100:59438,845.5,828.07,0,62,61,61
1670186494.317326,10.10.1.100:51434,110.9,789.937,0,42,9,
1670186494.394376,10.10.1.100:59438,845.6,832.251,0,62,61,61
1670186494.397182,10.10.1.100:51434,110.9,789.937,0,42,9,
1670186494.473485,10.10.1.100:59438,845.5,834.373,0,62,61,61
1670186494.476305,10.10.1.100:51434,110.9,789.937,0,42,9,
1670186494.552684,10.10.1.100:59438,845.6,835.09,0,62,61,61
1670186494.555559,10.10.1.100:51434,110.9,789.937,0,42,9,
1670186494.634222,10.10.1.100:59438,845.6,835.454,0,62,61,61
1670186494.637536,10.10.1.100:51434,110.9,789.937,0,42,9,
1670186494.717172,10.10.1.100:59438,845.6,835.524,0,62,61,61
1670186494.720072,10.10.1.100:51434,110.9,789.937,0,42,9,
1670186494.833901,10.10.1.100:59438,845.8,835.534,0,62,61,61
1670186494.839056,10.10.1.100:51434,110.9,789.937,0,42,9,
1670186494.975112,10.10.1.100:59438,845.3,835.738,0,62,62,61
1670186494.980168,10.10.1.100:51434,84.4,795.064,2,44,7,
1670186495.089020,10.10.1.100:59438,845.6,829.164,0,62,62,61
1670186495.094055,10.10.1.100:51434,96.7,803.534,2,44,7,
1670186495.230596,10.10.1.100:59438,845.5,831.249,0,62,62,61
1670186495.235632,10.10.1.100:51434,96.7,803.534,2,44,7,
1670186495.313983,10.10.1.100:59438,845.5,833.485,0,62,62,61
1670186495.316949,10.10.1.100:51434,96.7,803.534,2,44,7,
1670186495.432223,10.10.1.100:59438,845.5,834.493,0,62,62,61
1670186495.437392,10.10.1.100:51434,96.7,803.534,2,44,7,
1670186495.567374,10.10.1.100:59438,845.7,835.237,0,62,62,61
1670186495.572318,10.10.1.100:51434,96.7,803.534,2,44,7,
1670186495.707253,10.10.1.100:59438,859.1,837.209,0,62,63,61
1670186495.712353,10.10.1.100:51434,96.7,803.534,2,44,7,
1670186495.841199,10.10.1.100:59438,859.1,840.797,0,62,63,61
1670186495.845962,10.10.1.100:51434,97.0,819.281,0,44,12,
1670186495.928985,10.10.1.100:59438,859.3,843.74,0,62,63,61
1670186495.931731,10.10.1.100:51434,97.0,820.854,0,44,12,
1670186496.012407,10.10.1.100:59438,859.6,841.097,0,62,63,61
1670186496.017598,10.10.1.100:51434,97.0,820.854,0,44,12,
1670186496.153924,10.10.1.100:59438,859.4,838.526,0,62,63,61
1670186496.158835,10.10.1.100:51434,97.0,820.854,0,44,12,
1670186496.270628,10.10.1.100:59438,859.3,837.242,0,62,63,61
1670186496.273614,10.10.1.100:51434,97.0,820.854,0,44,12,
1670186496.386760,10.10.1.100:59438,859.5,836.53,0,62,63,61
1670186496.391912,10.10.1.100:51434,97.0,820.854,0,44,12,
1670186496.518859,10.10.1.100:59438,845.2,834.554,0,62,63,61
1670186496.523899,10.10.1.100:51434,97.0,820.854,0,44,12,
1670186496.660408,10.10.1.100:59438,859.1,832.043,1,63,59,31
