1669601619.839227,10.10.1.100:42758,,,10,
1669601619.973135,10.10.1.100:42764,,,10,
1669601619.975714,10.10.1.100:42762,,,10,
1669601619.977759,10.10.1.100:42760,,,19,
1669601620.088336,10.10.1.100:42764,,,14,
1669601620.089754,10.10.1.100:42762,,,17,
1669601620.090888,10.10.1.100:42760,,,19,
1669601620.167526,10.10.1.100:42764,,,19,
1669601620.168962,10.10.1.100:42762,,,19,
1669601620.170102,10.10.1.100:42760,,,20,
1669601620.246614,10.10.1.100:42764,,,20,
1669601620.248105,10.10.1.100:42762,,,20,
1669601620.249282,10.10.1.100:42760,,,25,
1669601620.364915,10.10.1.100:42764,,,21,
1669601620.368284,10.10.1.100:42762,,,21,
1669601620.370285,10.10.1.100:42760,,,29,
1669601620.505273,10.10.1.100:42764,,,21,
1669601620.507958,10.10.1.100:42762,,,19,19
1669601620.510024,10.10.1.100:42760,,,37,
1669601620.606942,10.10.1.100:42764,,,21,
1669601620.608436,10.10.1.100:42762,,,19,19
1669601620.609648,10.10.1.100:42760,,,38,
1669601620.686274,10.10.1.100:42764,,,28,
1669601620.687780,10.10.1.100:42762,,,19,19
1669601620.689117,10.10.1.100:42760,,,39,
1669601620.764341,10.10.1.100:42764,,,35,
1669601620.765976,10.10.1.100:42762,,,19,19
1669601620.767276,10.10.1.100:42760,,,39,
1669601620.844936,10.10.1.100:42764,,,38,
1669601620.846433,10.10.1.100:42762,,,19,19
1669601620.847760,10.10.1.100:42760,,,40,
1669601620.923815,10.10.1.100:42764,,,40,
1669601620.925351,10.10.1.100:42762,,,19,19
1669601620.926704,10.10.1.100:42760,,,2,1
1669601621.031180,10.10.1.100:42764,,,40,
1669601621.033941,10.10.1.100:42762,,,19,19
1669601621.036388,10.10.1.100:42760,,,2,1
1669601621.171909,10.10.1.100:42764,,,42,
1669601621.174767,10.10.1.100:42762,,,19,19
1669601621.177272,10.10.1.100:42760,,,2,1
1669601621.254820,10.10.1.100:42764,,,42,
1669601621.256443,10.10.1.100:42762,,,19,19
1669601621.257836,10.10.1.100:42760,8,8,16,2
1669601621.333845,10.10.1.100:42764,,,42,
1669601621.335380,10.10.1.100:42762,,,18,18
1669601621.336821,10.10.1.100:42760,10,10,14,2
1669601621.412008,10.10.1.100:42764,,,14,14
1669601621.413615,10.10.1.100:42762,,,18,18
1669601621.415004,10.10.1.100:42760,10,10,14,2
1669601621.491507,10.10.1.100:42764,2,2,35,7
1669601621.493060,10.10.1.100:42762,,,18,18
1669601621.494467,10.10.1.100:42760,10,10,14,2
1669601621.570881,10.10.1.100:42764,5,5,26,7
1669601621.571539,10.10.1.100:42762,,,18,18
1669601621.571648,10.10.1.100:42760,10,10,14,2
