1670184523.375987,10.10.1.100:51422,29900.0,19.661,,,18,
1670184523.452101,10.10.1.100:51422,958.6,67.84,,,24,
1670184523.529565,10.10.1.100:51422,955.5,108.143,,,30,
1670184523.605818,10.10.1.100:51422,956.6,140.78,,,36,
1670184523.735810,10.10.1.100:51422,955.4,186.123,,,44,
1670184523.877864,10.10.1.100:51422,956.3,243.093,,,54,
1670184524.006425,10.10.1.100:51422,955.7,344.108,,,67,
1670184524.105820,10.10.1.100:51422,956.1,406.788,,,76,
1670184524.242939,10.10.1.100:51422,956.5,462.128,,,85,
1670184524.321738,10.10.1.100:51422,956.3,502.037,,,96,
1670184524.399505,10.10.1.100:51422,956.5,511.734,,,102,
1670184524.477453,10.10.1.100:51422,957.0,548.95,,,109,
1670184524.553991,10.10.1.100:51422,956.6,590.535,,,112,
1670184524.689671,10.10.1.100:51422,956.1,644.294,,,112,
1670184524.790798,10.10.1.100:51422,956.2,739.561,,,112,
1670184524.866685,10.10.1.100:51422,956.4,787.38,2,2,110,
1670184524.943345,10.10.1.100:51422,956.0,814.139,8,8,104,
1670184525.019732,10.10.1.100:51422,956.4,827.313,15,15,97,
1670184525.097342,10.10.1.100:51422,956.1,831.954,21,21,91,
1670184525.174172,10.10.1.100:51422,956.3,834.107,27,27,85,
1670184525.250502,10.10.1.100:51422,956.4,835.032,33,33,79,
1670184525.327293,10.10.1.100:51422,956.5,835.511,40,40,72,
1670184525.403903,10.10.1.100:51422,956.4,835.662,43,43,69,
1670184525.480211,10.10.1.100:51422,956.7,835.683,43,43,69,
1670184525.557257,10.10.1.100:51422,956.5,835.668,43,43,69,
1670184525.634497,10.10.1.100:51422,956.6,835.585,43,43,69,
1670184525.710415,10.10.1.100:51422,956.3,834.772,40,43,12,
1670184525.786605,10.10.1.100:51422,956.1,835.215,34,43,12,
1670184525.862460,10.10.1.100:51422,956.4,835.584,28,43,12,
1670184525.966321,10.10.1.100:51422,956.3,835.584,21,43,13,
1670184526.042427,10.10.1.100:51422,956.3,835.568,13,43,13,
1670184526.119726,10.10.1.100:51422,956.2,835.681,7,43,12,
1670184526.197008,10.10.1.100:51422,956.3,835.819,0,43,12,
1670184526.275302,10.10.1.100:51422,956.3,839.743,0,43,14,
1670184526.352547,10.10.1.100:51422,956.5,842.341,0,43,12,
1670184526.430454,10.10.1.100:51422,956.7,844.072,0,43,12,
1670184526.508631,10.10.1.100:51422,956.2,845.318,0,43,12,
1670184526.586345,10.10.1.100:51422,166.3,502.471,0,43,12,
1670184526.587732,10.10.1.100:59424,0,543.846,,,10,
1670184526.664732,10.10.1.100:51422,166.2,307.005,0,43,12,
1670184526.666124,10.10.1.100:59424,0,543.846,,,10,
1670184526.743117,10.10.1.100:51422,948.4,217.893,0,43,12,
1670184526.744549,10.10.1.100:59424,79.1,494.171,,,10,
1670184526.864015,10.10.1.100:51422,950.4,178.195,0,43,13,
1670184526.866414,10.10.1.100:59424,79.1,494.171,,,10,
1670184527.000563,10.10.1.100:51422,947.5,156.527,0,43,12,
1670184527.001924,10.10.1.100:59424,79.1,456.174,,,10,
1670184527.098278,10.10.1.100:51422,947.9,151.457,0,43,12,
1670184527.373054,10.10.1.100:51422,878.7,153.218,0,43,12,
1670184527.373164,10.10.1.100:59426,0,145.905,,,10,
1670184527.474484,10.10.1.100:51422,674.3,125.968,0,43,8,
1670184527.475795,10.10.1.100:59426,73.0,147.496,,,10,
1670184527.559604,10.10.1.100:51422,731.2,119.899,0,43,11,
1670184527.561118,10.10.1.100:59426,285.6,135.295,,,13,
1670184527.644315,10.10.1.100:51422,478.6,129.116,0,43,8,
1670184527.645678,10.10.1.100:59426,508.2,155.064,,,19,
1670184527.723725,10.10.1.100:51422,451.9,178.638,0,43,8,
1670184527.725078,10.10.1.100:59426,529.7,162.947,,,20,
1670184527.804827,10.10.1.100:51422,456.5,204.709,0,43,8,
1670184527.806497,10.10.1.100:59426,477.7,191.013,,,23,
1670184527.944043,10.10.1.100:51422,456.5,204.709,0,43,8,
1670184527.946480,10.10.1.100:59426,551.5,246.057,,,24,24
1670184528.045811,10.10.1.100:51422,273.1,236.249,0,43,8,
1670184528.047159,10.10.1.100:59426,626.5,291.462,,,24,24
1670184528.125675,10.10.1.100:51422,297.0,287.23,0,43,10,
1670184528.127008,10.10.1.100:59426,669.7,312.988,,,24,24
1670184528.204690,10.10.1.100:51422,298.9,297.697,0,43,8,
1670184528.206059,10.10.1.100:59426,717.2,344.788,,,25,24
1670184528.284968,10.10.1.100:51422,298.9,297.697,0,43,8,
1670184528.286305,10.10.1.100:59426,717.7,364.709,,,25,24
1670184528.413389,10.10.1.100:51422,298.9,297.697,0,43,8,
1670184528.415863,10.10.1.100:59426,717.8,375.329,,,25,24
1670184528.529149,10.10.1.100:51422,281.0,360.673,0,43,11,
1670184528.530473,10.10.1.100:59426,717.8,377.374,,,26,24
1670184528.609420,10.10.1.100:51422,281.0,360.673,0,43,11,
1670184528.610747,10.10.1.100:59426,717.8,396.937,,,26,24
1670184528.688489,10.10.1.100:51422,281.0,360.673,0,43,11,
1670184528.689856,10.10.1.100:59426,702.7,405.985,,,26,24
1670184528.768173,10.10.1.100:51422,281.0,360.673,0,43,11,
1670184528.769566,10.10.1.100:59426,702.9,411.326,,,27,24
1670184528.848096,10.10.1.100:51422,231.7,369.853,0,43,8,
1670184528.849464,10.10.1.100:59426,724.5,417.35,,,27,24
1670184528.927911,10.10.1.100:51422,246.0,393.889,0,43,9,
1670184528.929282,10.10.1.100:59426,650.7,423.04,,,27,24
1670184529.007158,10.10.1.100:51422,276.9,406.072,0,43,8,
1670184529.008511,10.10.1.100:59426,671.6,431.771,,,27,24
1670184529.086671,10.10.1.100:51422,276.9,406.072,0,43,8,
1670184529.088001,10.10.1.100:59426,671.5,441.304,,,27,24
1670184529.166031,10.10.1.100:51422,276.9,406.072,0,43,8,
1670184529.167372,10.10.1.100:59426,672.4,447.599,,,28,24
1670184529.245385,10.10.1.100:51422,276.9,406.072,0,43,8,
1670184529.247047,10.10.1.100:59426,679.3,452.897,,,28,24
1670184529.354621,10.10.1.100:51422,225.0,407.981,0,43,8,
1670184529.357182,10.10.1.100:59426,717.2,450.795,,,28,24
1670184529.496539,10.10.1.100:51422,258.3,417.567,0,43,11,
1670184529.497923,10.10.1.100:59426,697.6,443.157,,,28,24
1670184529.575907,10.10.1.100:51422,258.3,417.567,0,43,11,
1670184529.577340,10.10.1.100:59426,698.3,436.94,,,29,24
1670184529.654673,10.10.1.100:51422,258.3,417.567,0,43,11,
1670184529.656008,10.10.1.100:59426,678.9,440.73,,,29,24
1670184529.733844,10.10.1.100:51422,212.5,421.909,0,43,8,
1670184529.735265,10.10.1.100:59426,717.2,442.472,,,29,24
1670184529.814578,10.10.1.100:51422,232.5,425.678,0,43,8,
1670184529.816124,10.10.1.100:59426,676.8,447.071,,,30,24
1670184529.953859,10.10.1.100:51422,269.7,433.751,0,43,12,
1670184529.956206,10.10.1.100:59426,679.8,457.772,,,30,24
