1669593298.229826,10.10.1.100:47598,,,10,
1669593298.305068,10.10.1.100:47604,,,10,
1669593298.306375,10.10.1.100:47602,,,10,
1669593298.308799,10.10.1.100:47600,,,15,
1669593298.383754,10.10.1.100:47604,,,10,
1669593298.385161,10.10.1.100:47602,,,13,
1669593298.387537,10.10.1.100:47600,,,19,
1669593298.462053,10.10.1.100:47604,,,10,
1669593298.463500,10.10.1.100:47602,,,19,
1669593298.466067,10.10.1.100:47600,,,19,
1669593298.548222,10.10.1.100:47604,,,16,
1669593298.550945,10.10.1.100:47602,,,20,
1669593298.554949,10.10.1.100:47600,,,19,
1669593298.689834,10.10.1.100:47604,,,20,
1669593298.692463,10.10.1.100:47602,,,20,
1669593298.696543,10.10.1.100:47600,,,23,
1669593298.820493,10.10.1.100:47604,,,21,
1669593298.822971,10.10.1.100:47602,,,21,
1669593298.826805,10.10.1.100:47600,,,33,
1669593298.906613,10.10.1.100:47604,,,21,
1669593298.908136,10.10.1.100:47602,,,19,19
1669593298.910537,10.10.1.100:47600,,,38,
1669593298.985591,10.10.1.100:47604,,,21,
1669593298.987097,10.10.1.100:47602,,,19,19
1669593298.989488,10.10.1.100:47600,,,38,
1669593299.064161,10.10.1.100:47604,,,21,
1669593299.065888,10.10.1.100:47602,,,19,19
1669593299.068499,10.10.1.100:47600,,,39,
1669593299.145421,10.10.1.100:47604,,,26,
1669593299.147201,10.10.1.100:47602,,,19,19
1669593299.150049,10.10.1.100:47600,,,39,
1669593299.226256,10.10.1.100:47604,,,32,
1669593299.227774,10.10.1.100:47602,,,19,19
1669593299.230207,10.10.1.100:47600,,,39,
1669593299.304827,10.10.1.100:47604,,,39,
1669593299.306289,10.10.1.100:47602,,,19,19
1669593299.308569,10.10.1.100:47600,,,39,
1669593299.384296,10.10.1.100:47604,,,40,
1669593299.385835,10.10.1.100:47602,,,19,19
1669593299.388401,10.10.1.100:47600,,,2,1
1669593299.462370,10.10.1.100:47604,,,40,
1669593299.464300,10.10.1.100:47602,,,19,19
1669593299.466823,10.10.1.100:47600,,,2,1
1669593299.540764,10.10.1.100:47604,,,42,
1669593299.542212,10.10.1.100:47602,,,19,19
1669593299.544807,10.10.1.100:47600,,,2,1
1669593299.619304,10.10.1.100:47604,,,42,
1669593299.620800,10.10.1.100:47602,,,19,19
1669593299.623376,10.10.1.100:47600,5,5,20,2
1669593299.697038,10.10.1.100:47604,,,42,
1669593299.698541,10.10.1.100:47602,,,18,18
